tipo,strike,vencimiento,oi,gamma,gex_contrib
call,400.0,2026-09-11,7,0.0,0.0
call,405.0,2026-09-11,3,0.0,0.0
call,420.0,2026-09-11,1,0.0,0.0
call,450.0,2026-09-11,1,0.0,0.0
call,475.0,2026-09-11,1,0.0,0.0
call,490.0,2026-09-11,54,0.0,0.0
call,495.0,2026-09-11,1,0.0,0.0
call,500.0,2026-09-11,2,0.0,0.0
call,520.0,2026-09-11,5,0.0,0.0
call,530.0,2026-09-11,3,0.0,0.0
call,535.0,2026-09-11,10,0.0,0.0
call,540.0,2026-09-11,63,0.0,0.0
call,545.0,2026-09-11,1,0.0,0.0
call,550.0,2026-09-11,35,0.0,0.0
call,555.0,2026-09-11,233,0.0,0.0
call,560.0,2026-09-11,0,0.0,0.0
call,565.0,2026-09-11,10,0.0,0.0
call,570.0,2026-09-11,5,0.0,0.0
call,575.0,2026-09-11,3,0.0,0.0
call,580.0,2026-09-11,83,0.0,0.0
call,585.0,2026-09-11,14,0.0,0.0
call,590.0,2026-09-11,182,0.0,0.0
call,595.0,2026-09-11,4,0.0,0.0
call,600.0,2026-09-11,112,0.0,0.0
call,605.0,2026-09-11,2,0.0,0.0
call,610.0,2026-09-11,27,0.0,0.0
call,615.0,2026-09-11,5,0.0,0.0
call,620.0,2026-09-11,17,0.0,0.0
call,625.0,2026-09-11,28,0.0,0.0
call,630.0,2026-09-11,141,0.0,0.0
call,633.0,2026-09-11,1,0.0,0.0
call,634.0,2026-09-11,1,0.0,0.0
call,635.0,2026-09-11,1,0.0,0.0
call,636.0,2026-09-11,6,0.0,0.0
call,637.0,2026-09-11,4,0.0,0.0
call,638.0,2026-09-11,2,0.0,0.0
call,639.0,2026-09-11,10,0.0,0.0
call,640.0,2026-09-11,3,0.0,0.0
call,641.0,2026-09-11,16,0.0,0.0
call,642.0,2026-09-11,2,0.0,0.0
call,644.0,2026-09-11,1,0.0,0.0
call,645.0,2026-09-11,2,0.0,0.0
call,646.0,2026-09-11,6,0.0,0.0
call,647.0,2026-09-11,20,0.0,0.0
call,648.0,2026-09-11,3,0.0,0.0
call,650.0,2026-09-11,55,0.0,0.0
call,651.0,2026-09-11,9,0.0,0.0
call,652.0,2026-09-11,41,0.0,0.0
call,653.0,2026-09-11,21,0.0,0.0
call,654.0,2026-09-11,17,0.0,0.0
call,655.0,2026-09-11,20,0.0,0.0
call,656.0,2026-09-11,7,0.0,0.0
call,657.0,2026-09-11,464,0.0,0.0
call,658.0,2026-09-11,1,0.0,0.0
call,659.0,2026-09-11,16,0.0,0.0
call,660.0,2026-09-11,9,0.0,0.0
call,662.0,2026-09-11,9,0.0,0.0
call,663.0,2026-09-11,1,0.0,0.0
call,664.0,2026-09-11,7,0.0,0.0
call,665.0,2026-09-11,75,0.0,0.0
call,666.0,2026-09-11,20,0.0,0.0
call,667.0,2026-09-11,7,0.0,0.0
call,668.0,2026-09-11,11,0.0,0.0
call,670.0,2026-09-11,47,0.0,0.0
call,671.0,2026-09-11,20,0.0,0.0
call,672.0,2026-09-11,5,0.0,0.0
call,673.0,2026-09-11,17,0.0,0.0
call,674.0,2026-09-11,27,0.0,0.0
call,675.0,2026-09-11,152,0.0,0.0
call,676.0,2026-09-11,7,0.0,0.0
call,677.0,2026-09-11,18,0.0,0.0
call,678.0,2026-09-11,6,0.0,0.0
call,679.0,2026-09-11,7,0.0,0.0
call,680.0,2026-09-11,82,0.0,0.0
call,681.0,2026-09-11,27,0.0,0.0
call,682.0,2026-09-11,87,0.0,0.0
call,683.0,2026-09-11,13,0.0,0.0
call,684.0,2026-09-11,30,0.0,0.0
call,685.0,2026-09-11,418,0.0,0.0
call,686.0,2026-09-11,103,0.0,0.0
call,687.0,2026-09-11,17,0.0,0.0
call,688.0,2026-09-11,78,0.0,0.0
call,689.0,2026-09-11,131,0.0,0.0
call,690.0,2026-09-11,119,0.0,0.0
call,691.0,2026-09-11,5,0.0,0.0
call,692.0,2026-09-11,27,0.0,0.0
call,693.0,2026-09-11,24,0.0,0.0
call,694.0,2026-09-11,48,0.0,0.0
call,695.0,2026-09-11,211,0.0,0.0
call,696.0,2026-09-11,35,0.0,0.0
call,697.0,2026-09-11,22,0.0,0.0
call,698.0,2026-09-11,103,0.0,0.0
call,699.0,2026-09-11,52,0.0,0.0
call,700.0,2026-09-11,1243,0.0,0.0
call,701.0,2026-09-11,113,0.0,0.0
call,702.0,2026-09-11,205,0.0,0.0
call,703.0,2026-09-11,133,0.0,0.0
call,704.0,2026-09-11,397,0.0,0.0
call,705.0,2026-09-11,1905,0.0,0.0
call,706.0,2026-09-11,364,0.0,0.0
call,707.0,2026-09-11,807,0.0,0.0
call,708.0,2026-09-11,591,0.0,0.0
call,709.0,2026-09-11,552,0.0,0.0
call,710.0,2026-09-11,3415,0.0,0.0
call,711.0,2026-09-11,913,0.0,0.0
call,712.0,2026-09-11,662,0.0,0.0
call,713.0,2026-09-11,1353,0.0,0.0
call,714.0,2026-09-11,1098,0.0,0.0
call,715.0,2026-09-11,6265,0.0,0.0
call,716.0,2026-09-11,2350,0.0,0.0
call,717.0,2026-09-11,4753,0.0,0.0
call,718.0,2026-09-11,6168,0.0,0.0
call,719.0,2026-09-11,2641,0.0,0.0
call,720.0,2026-09-11,8403,0.0,0.0
call,721.0,2026-09-11,3972,0.0,0.0
call,722.0,2026-09-11,3992,0.0,0.0
call,723.0,2026-09-11,2211,0.0,0.0
call,724.0,2026-09-11,2049,0.0,0.0
call,725.0,2026-09-11,7628,0.0,0.0
call,726.0,2026-09-11,2315,0.0,0.0
call,727.0,2026-09-11,3350,0.0,0.0
call,728.0,2026-09-11,1580,0.0,0.0
call,729.0,2026-09-11,7289,0.0,0.0
call,730.0,2026-09-11,9263,0.0,0.0
call,731.0,2026-09-11,5339,0.0,0.0
call,732.0,2026-09-11,3588,0.0,0.0
call,733.0,2026-09-11,3815,0.0,0.0
call,734.0,2026-09-11,9461,0.0,0.0
call,735.0,2026-09-11,8754,0.0,0.0
call,736.0,2026-09-11,1891,0.0,0.0
call,737.0,2026-09-11,5759,0.0,0.0
call,738.0,2026-09-11,1574,0.0,0.0
call,739.0,2026-09-11,1760,0.0,0.0
call,740.0,2026-09-11,11697,0.0,0.0
call,741.0,2026-09-11,1036,0.0,0.0
call,742.0,2026-09-11,804,0.0,0.0
call,743.0,2026-09-11,687,0.0,0.0
call,744.0,2026-09-11,716,0.0,0.0
call,745.0,2026-09-11,2604,0.0,0.0
call,746.0,2026-09-11,295,0.0,0.0
call,747.0,2026-09-11,578,0.0,0.0
call,748.0,2026-09-11,5090,0.0,0.0
call,749.0,2026-09-11,1082,0.0,0.0
call,750.0,2026-09-11,12581,0.0,0.0
call,751.0,2026-09-11,483,0.0,0.0
call,752.0,2026-09-11,906,0.0,0.0
call,753.0,2026-09-11,502,0.0,0.0
call,754.0,2026-09-11,1400,0.0,0.0
call,755.0,2026-09-11,1521,0.0,0.0
call,756.0,2026-09-11,131,0.0,0.0
call,757.0,2026-09-11,675,0.0,0.0
call,758.0,2026-09-11,1064,0.0,0.0
call,759.0,2026-09-11,289,0.0,0.0
call,760.0,2026-09-11,3077,0.0,0.0
call,765.0,2026-09-11,692,0.0,0.0
call,770.0,2026-09-11,1385,0.0,0.0
call,775.0,2026-09-11,1759,0.0,0.0
call,780.0,2026-09-11,1774,0.0,0.0
call,785.0,2026-09-11,1067,0.0,0.0
call,790.0,2026-09-11,489,0.0,0.0
call,795.0,2026-09-11,293,0.0,0.0
call,800.0,2026-09-11,1379,0.0,0.0
call,805.0,2026-09-11,137,0.0,0.0
call,810.0,2026-09-11,411,0.0,0.0
call,815.0,2026-09-11,308,0.0,0.0
call,820.0,2026-09-11,344,0.0,0.0
call,825.0,2026-09-11,57,0.0,0.0
call,830.0,2026-09-11,98,0.0,0.0
call,835.0,2026-09-11,149,0.0,0.0
call,840.0,2026-09-11,297,0.0,0.0
call,845.0,2026-09-11,40,0.0,0.0
call,850.0,2026-09-11,157,0.0,0.0
call,860.0,2026-09-11,13,0.0,0.0
call,870.0,2026-09-11,79,0.0,0.0
call,880.0,2026-09-11,18,0.0,0.0
call,885.0,2026-09-11,34,0.0,0.0
call,890.0,2026-09-11,1,0.0,0.0
call,895.0,2026-09-11,1,0.0,0.0
call,900.0,2026-09-11,17,0.0,0.0
call,910.0,2026-09-11,100,0.0,0.0
call,915.0,2026-09-11,59,0.0,0.0
call,930.0,2026-09-11,270,0.0,0.0
call,935.0,2026-09-11,12,0.0,0.0
call,940.0,2026-09-11,310,0.0,0.0
call,945.0,2026-09-11,50,0.0,0.0
call,950.0,2026-09-11,6,0.0,0.0
put,400.0,2026-09-11,1282,0.0,-0.0
put,405.0,2026-09-11,208,0.0,-0.0
put,410.0,2026-09-11,229,0.0,-0.0
put,415.0,2026-09-11,534,0.0,-0.0
put,420.0,2026-09-11,3347,0.0,-0.0
put,425.0,2026-09-11,2994,0.0,-0.0
put,430.0,2026-09-11,126,0.0,-0.0
put,435.0,2026-09-11,100,0.0,-0.0
put,440.0,2026-09-11,42,0.0,-0.0
put,445.0,2026-09-11,22,0.0,-0.0
put,450.0,2026-09-11,293,0.0,-0.0
put,455.0,2026-09-11,1,0.0,-0.0
put,460.0,2026-09-11,99,0.0,-0.0
put,465.0,2026-09-11,308,0.0,-0.0
put,470.0,2026-09-11,48,0.0,-0.0
put,475.0,2026-09-11,124,0.0,-0.0
put,480.0,2026-09-11,27,0.0,-0.0
put,485.0,2026-09-11,611,0.0,-0.0
put,490.0,2026-09-11,17,0.0,-0.0
put,495.0,2026-09-11,5,0.0,-0.0
put,500.0,2026-09-11,13185,0.0,-0.0
put,505.0,2026-09-11,328,0.0,-0.0
