tipo,strike,vencimiento,oi,gamma,gex_contrib
call,500.0,2026-09-11,18,0.0,0.0
call,520.0,2026-09-11,3,0.0,0.0
call,525.0,2026-09-11,6,0.0,0.0
call,530.0,2026-09-11,11,0.0,0.0
call,535.0,2026-09-11,2,0.0,0.0
call,540.0,2026-09-11,40,0.0,0.0
call,545.0,2026-09-11,5,0.0,0.0
call,555.0,2026-09-11,1,0.0,0.0
call,565.0,2026-09-11,0,0.0,0.0
call,575.0,2026-09-11,6,0.0,0.0
call,580.0,2026-09-11,38,0.0,0.0
call,595.0,2026-09-11,2,0.0,0.0
call,600.0,2026-09-11,17,0.0,0.0
call,610.0,2026-09-11,11,0.0,0.0
call,615.0,2026-09-11,10,0.0,0.0
call,625.0,2026-09-11,38,0.0,0.0
call,630.0,2026-09-11,8,0.0,0.0
call,635.0,2026-09-11,22,0.0,0.0
call,640.0,2026-09-11,14,0.0,0.0
call,645.0,2026-09-11,13,0.0,0.0
call,650.0,2026-09-11,14,0.0,0.0
call,655.0,2026-09-11,15,0.0,0.0
call,660.0,2026-09-11,6,0.0,0.0
call,665.0,2026-09-11,13,0.0,0.0
call,670.0,2026-09-11,11,0.0,0.0
call,675.0,2026-09-11,9,0.0,0.0
call,680.0,2026-09-11,23,0.0,0.0
call,685.0,2026-09-11,40,0.0,0.0
call,690.0,2026-09-11,45,0.0,0.0
call,692.0,2026-09-11,14,0.0,0.0
call,693.0,2026-09-11,24,0.0,0.0
call,694.0,2026-09-11,35,0.0,0.0
call,695.0,2026-09-11,25,0.0,0.0
call,696.0,2026-09-11,6,0.0,0.0
call,697.0,2026-09-11,14,0.0,0.0
call,699.0,2026-09-11,15,0.0,0.0
call,700.0,2026-09-11,642,0.0,0.0
call,701.0,2026-09-11,15,0.0,0.0
call,702.0,2026-09-11,32,0.0,0.0
call,705.0,2026-09-11,63,0.0,0.0
call,706.0,2026-09-11,43,0.0,0.0
call,707.0,2026-09-11,28,0.0,0.0
call,708.0,2026-09-11,69,0.0,0.0
call,709.0,2026-09-11,79,0.0,0.0
call,710.0,2026-09-11,84,0.0,0.0
call,711.0,2026-09-11,17,0.0,0.0
call,712.0,2026-09-11,11,0.0,0.0
call,713.0,2026-09-11,28,0.0,0.0
call,714.0,2026-09-11,33,0.0,0.0
call,715.0,2026-09-11,29,0.0,0.0
call,716.0,2026-09-11,23,0.0,0.0
call,717.0,2026-09-11,71,0.0,0.0
call,718.0,2026-09-11,14,0.0,0.0
call,719.0,2026-09-11,20,0.0,0.0
call,720.0,2026-09-11,60,0.0,0.0
call,721.0,2026-09-11,11,0.0,0.0
call,722.0,2026-09-11,58,0.0,0.0
call,723.0,2026-09-11,17,0.0,0.0
call,724.0,2026-09-11,118,0.0,0.0
call,725.0,2026-09-11,46,0.0,0.0
call,726.0,2026-09-11,12,0.0,0.0
call,727.0,2026-09-11,68,0.0,0.0
call,728.0,2026-09-11,19,0.0,0.0
call,729.0,2026-09-11,37,0.0,0.0
call,730.0,2026-09-11,115,0.0,0.0
call,731.0,2026-09-11,54,0.0,0.0
call,732.0,2026-09-11,198,0.0,0.0
call,733.0,2026-09-11,95,0.0,0.0
call,734.0,2026-09-11,70,0.0,0.0
call,735.0,2026-09-11,198,0.0,0.0
call,736.0,2026-09-11,121,0.0,0.0
call,737.0,2026-09-11,89,0.0,0.0
call,738.0,2026-09-11,147,0.0,0.0
call,739.0,2026-09-11,190,0.0,0.0
call,740.0,2026-09-11,754,0.0,0.0
call,741.0,2026-09-11,173,0.0,0.0
call,742.0,2026-09-11,188,0.0,0.0
call,743.0,2026-09-11,249,0.0,0.0
call,744.0,2026-09-11,241,0.0,0.0
call,745.0,2026-09-11,609,0.0,0.0
call,746.0,2026-09-11,376,0.0,0.0
call,747.0,2026-09-11,329,0.0,0.0
call,748.0,2026-09-11,398,0.0,0.0
call,749.0,2026-09-11,435,0.0,0.0
call,750.0,2026-09-11,654,0.0,0.0
call,751.0,2026-09-11,553,0.0,0.0
call,752.0,2026-09-11,427,0.0,0.0
call,753.0,2026-09-11,833,0.0,0.0
call,754.0,2026-09-11,837,0.0,0.0
call,755.0,2026-09-11,1083,0.0,0.0
call,756.0,2026-09-11,531,0.0,0.0
call,757.0,2026-09-11,844,0.0,0.0
call,758.0,2026-09-11,1861,0.0,0.0
call,759.0,2026-09-11,631,0.0,0.0
call,760.0,2026-09-11,1581,0.0,0.0
call,761.0,2026-09-11,1396,0.0,0.0
call,762.0,2026-09-11,4303,0.0,0.0
call,763.0,2026-09-11,6259,0.0,0.0
call,764.0,2026-09-11,3140,0.0,0.0
call,765.0,2026-09-11,9372,0.0,0.0
call,766.0,2026-09-11,2678,0.0,0.0
call,767.0,2026-09-11,4276,0.0,0.0
call,768.0,2026-09-11,4989,0.0,0.0
call,769.0,2026-09-11,3262,0.0,0.0
call,770.0,2026-09-11,24005,0.0,0.0
call,771.0,2026-09-11,3601,0.0,0.0
call,772.0,2026-09-11,7233,0.0,0.0
call,773.0,2026-09-11,5343,0.0,0.0
call,774.0,2026-09-11,4313,0.0,0.0
call,775.0,2026-09-11,15177,0.0,0.0
call,776.0,2026-09-11,3939,0.0,0.0
call,777.0,2026-09-11,19342,0.0,0.0
call,778.0,2026-09-11,5198,0.0,0.0
call,779.0,2026-09-11,2670,0.0,0.0
call,780.0,2026-09-11,17772,0.0,0.0
